,ID,D,E_Brent,BE_F,Water_Injected_opex,Opt_ActivacionBasica_a_ab,Opt_Activacion_e1,Opt_Activacion_e2,Opt_Activacion_e3,Opt_Activacion_e4,VPN_Basica_porta,VPN_incremental_porta,VPN_Basica,VPN_incremental,VPN_Total,EFI_INCREMENTAL,capex,opex_basica,opex_incremental,Volumenes
64,64,1,55,48.24061249086322,0.35,1,1,1,0,0,7851.7122,16855.7644,7076.9761,326759.3979,7076.9762,0.015321878604244969,1049076.8091,397292.789,2060635.7186,82.08005046399992
65,65,1,55,48.40017476378819,0.15,1,1,1,0,1,9863.1216,16656.1005,9103.6097,326759.3979,9103.6098,0.06013181415330762,1467277.4371,362962.4517,2025194.9046,102.04995516799991
66,66,1,55,49.47779067329927,0.2,1,1,1,0,1,9365.9994,5951.6583,9118.0822,326759.3979,9118.0822,0.06033053561279161,1467277.4371,371545.036,2155876.9145,102.04995516799991
67,67,1,55,50.4850635509383,0.25,1,1,1,0,1,8868.8772,-4918.0225,9099.1596,326759.3979,9099.1595,0.06194490679483309,1467277.4371,380127.6203,2286558.9244,102.04995516799991
68,68,1,55,51.563396217359184,0.3,1,1,1,0,1,8284.4341,-16539.2007,9113.9723,326759.3979,9113.9723,0.061999785757424174,1467277.4371,388710.2046,2417240.9343,102.04995516799991
69,69,1,55,52.63618639438802,0.35,1,1,1,0,1,7851.7122,-27563.9673,9012.5415,326759.3979,9012.5416,0.061835414455641134,1467277.4371,397292.789,2547922.9441,102.04995516799991
70,70,1,55,48.36807198831644,0.15,1,1,1,1,0,9863.1216,24417.1501,9088.369,326759.3979,9088.369,0.05481115737894519,1923045.2326,362962.4517,2643673.8692,138.93126161599992
71,71,1,55,49.421113913598454,0.2,1,1,1,1,0,9365.9994,8267.7247,9091.1751,326759.3979,9091.1751,0.055217562896308345,1923045.2326,371545.036,2813569.8767,138.93126161599992
72,72,1,55,50.481665814206806,0.25,1,1,1,1,0,8868.8772,-6862.5283,9097.5465,326759.3979,9097.5465,0.05553929354173142,1923045.2326,380127.6203,2983465.8842,138.93126161599992
73,73,1,55,51.4315043824927,0.3,1,1,1,1,0,8284.4341,-21950.7708,9051.3571,326759.3979,9051.3571,0.056811228371526086,1923045.2326,388710.2046,3153361.8917,138.93126161599992
74,74,1,55,52.48849364269555,0.35,1,1,1,1,0,7851.7122,-37247.3855,8947.5059,326759.3979,8947.5059,0.056987428847575225,1923045.2326,397292.789,3323257.8992,138.93126161599992
75,75,1,55,51.21576475456743,0.15,1,1,1,1,1,9863.1216,-18146.9447,10440.302,326759.3979,10440.302,0.07739886432410152,2341245.8606,362962.4517,3069090.1371,158.9011663199999
76,76,1,55,52.1669899617092,0.2,1,1,1,1,1,9365.9994,-33761.2318,10394.7709,326759.3979,10394.7709,0.0787152033167496,2341245.8606,371545.036,3254453.884,158.9011663199999
77,77,1,55,53.19013970483534,0.25,1,1,1,1,1,8868.8772,-49407.7659,10383.3858,326759.3979,10383.3858,0.0787386844811932,2341245.8606,380127.6203,3439817.6309,158.9011663199999
78,78,1,55,54.21963585612451,0.3,1,1,1,1,1,8284.4341,-65006.5524,10375.0135,326759.3979,10375.0136,0.07864618516087515,2341245.8606,388710.2046,3625181.3778,158.9011663199999
79,79,1,55,55.16238228909392,0.35,1,1,1,1,1,7851.7122,-80998.4215,10325.4572,326759.3979,10325.4571,0.07991374608422254,2341245.8606,397292.789,3810545.1247,158.9011663199999
