,ID,D,E_Brent,Water_Injected_opex,reuti_u,capex_h,opex_h,tarifa_h,produc_h,Opt_ActivacionBasica_a_ab,Opt_Activacion_e1,Opt_Activacion_e2,Opt_Activacion_e3,Opt_Activacion_e4,VPN_Basica_porta,VPN_incremental_porta,VPN_Basica,VPN_incremental,VPN_Total,EFI_INCREMENTAL,capex,opex_basica,opex_incremental,Volumenes,volumen_B_LE,volumen_I_LE,volumen_T_LE,volumen_B_LE_p,volumen_I_LE_p,volumen_T_LE_p,LE_year_p,LE_year_b,lc_p,lc_b,dc_p,dc_b,opex_ing_p,capex_ing_p,impuesto_ing_p,ingreso_ing_p,abandono_ing_p,opex_ing_b,capex_ing_b,impuesto_ing_b,ingreso_ing_b,abandono_ing_b
32,32,1,50,0.3,0,1,1,1,0.9,1,0,0,1,0,8284.4341,-69869.5133,8284.4341,-69869.5133,-61585.0792,0.0,873968.4235,388710.2046,1560437.4218,58.664967263999976,0.5345833115480001,21.85897416217403,21.324390850626028,0.5345833115480001,21.85897416217403,21.324390850626028,2051.0,2051.0,21.78,21.78,17.6363,17.6363,115402.8775,193652.5553,0,263942.1093,16471.7557,115402.8775,193652.5553,0,263942.1093,16471.7557
33,33,1,50,0.3,0,1,1,1,0.9,1,0,0,0,1,8284.4341,-51882.064,8284.4341,-51882.064,-43597.6299,0.0,418200.628,388710.2046,848223.8965,21.78366081599998,0.5345833115480001,7.856000797042665,7.321417485494665,0.5345833115480001,7.856000797042665,7.321417485494665,2052.0,2052.0,29.469,29.469,23.5078,23.5078,51926.8953,63329.9765,0,74955.3928,3296.1509,51926.8953,63329.9765,0,74955.3928,3296.1509
34,34,1,50,0.3,0,1,1,1,0.9,1,1,1,1,1,8284.4341,-130177.1833,8284.4341,-130177.1833,-121892.7492,0.0,2341245.8606,388710.2046,3505594.4953,158.9011663199999,0.5345833115480001,61.118617251924334,60.58403394037634,0.5345833115480001,61.118617251924334,60.58403394037634,2053.0,2053.0,20.1446,20.1446,16.7705,16.7705,280709.3143,561030.9982,18925.9593,772062.2527,33288.73,280709.3143,561030.9982,18925.9593,772062.2527,33288.73
35,35,1,50,0.3,0,1,1,1,1.1,1,1,0,0,0,8284.4341,117033.1579,8284.4341,117033.1579,125317.592,0.8400683854605564,392658.6658,388710.2046,1165749.5093,45.07856308799996,0.5345833115480001,21.518244107898717,20.983660796350716,0.5345833115480001,21.518244107898717,20.983660796350716,2051.0,2051.0,16.4714,16.4714,8.0412,8.0412,110302.3298,147669.7903,7019.7406,398433.5147,8124.062,110302.3298,147669.7903,7019.7406,398433.5147,8124.062
36,36,1,50,0.3,0,1,1,1,1.1,1,0,1,0,0,8284.4341,-50075.1111,8284.4341,-50075.1111,-41790.6769,0.0,656418.1434,388710.2046,1239450.0055,38.81524348799997,0.5345833115480001,18.239681487942477,17.705098176394475,0.5345833115480001,18.239681487942477,17.705098176394475,2053.0,2053.0,21.8644,21.8644,15.8845,15.8845,95008.8234,156378.6761,0,219852.7934,10255.9708,95008.8234,156378.6761,0,219852.7934,10255.9708
37,37,1,50,0.3,0,1,1,1,1.1,1,0,0,1,0,8284.4341,-18708.9804,8284.4341,-18708.9804,-10424.5463,0.0,873968.4235,388710.2046,1632863.8745,58.664967263999976,0.5345833115480001,28.138750276841282,27.60416696529328,0.5345833115480001,28.138750276841282,27.60416696529328,2054.0,2054.0,20.0726,20.0726,13.688,13.688,124480.3911,193652.5553,0,320083.874,12375.4738,124480.3911,193652.5553,0,320083.874,12375.4738
38,38,1,50,0.3,0,1,1,1,1.1,1,0,0,0,1,8284.4341,-41452.0904,8284.4341,-41452.0904,-33167.6563,0.0,418200.628,388710.2046,872835.485,21.78366081599998,0.5345833115480001,10.266697028042003,9.732113716494002,0.5345833115480001,10.266697028042003,9.732113716494002,2055.0,2055.0,26.6077,26.6077,17.988,17.988,54798.6964,63329.9765,0,87437.4635,2476.4469,54798.6964,63329.9765,0,87437.4635,2476.4469
39,39,1,50,0.3,0,1,1,1,1.1,1,1,1,1,1,8284.4341,-3663.2053,8284.4341,-3663.2053,4621.2288,0.07066373266233893,2341245.8606,388710.2046,3744768.2603,158.9011663199999,0.5345833115480001,78.29071903154848,77.75613572000047,0.5345833115480001,78.29071903154848,77.75613572000047,2056.0,2056.0,18.833,18.833,13.0571,13.0571,308458.2289,561030.9982,43307.7499,942428.5213,25010.3156,308458.2289,561030.9982,43307.7499,942428.5213,25010.3156
40,40,1,50,0.3,0,1,1,1,1,1,1,0,0,0,8284.4341,94453.547,8284.4341,94453.547,102737.9811,0.6402638996885027,392658.6658,388710.2046,1119350.4714,45.07856308799996,0.5345833115480001,19.376227619031496,18.84164430748349,0.5345833115480001,19.376227619031496,18.84164430748349,2050.0,2050.0,16.8155,16.8155,8.9339,8.9339,104676.6462,147669.7903,94.2231,364115.1088,8936.4682,104676.6462,147669.7903,94.2231,364115.1088,8936.4682
41,41,1,50,0.3,0,1,1,1,1,1,0,1,0,0,8284.4341,-66623.409,8284.4341,-66623.409,-58338.9749,0.0,656418.1434,388710.2046,1214781.1814,38.81524348799997,0.5345833115480001,16.330176019643986,15.795592708095985,0.5345833115480001,16.330176019643986,15.795592708095985,2052.0,2052.0,22.9475,22.9475,17.7454,17.7454,92276.0752,156378.6761,0,201597.3443,11281.5679,92276.0752,156378.6761,0,201597.3443,11281.5679
42,42,1,50,0.3,0,1,1,1,1,1,0,0,1,0,8284.4341,-43519.9923,8284.4341,-43519.9923,-35235.5582,0.0,873968.4235,388710.2046,1596650.6482,58.664967263999976,0.5345833115480001,25.198988246208113,24.664404934660112,0.5345833115480001,25.198988246208113,24.664404934660112,2053.0,2053.0,21.0371,21.0371,15.2919,15.2919,120569.982,193652.5553,0,292600.0003,13613.0212,120569.982,193652.5553,0,292600.0003,13613.0212
43,43,1,50,0.3,0,1,1,1,1,1,0,0,0,1,8284.4341,-46531.9837,8284.4341,-46531.9837,-38247.5496,0.0,418200.628,388710.2046,860529.6908,21.78366081599998,0.5345833115480001,9.168009072698664,8.633425761150663,0.5345833115480001,9.168009072698664,8.633425761150663,2054.0,2054.0,28.0834,28.0834,20.1437,20.1437,53666.2193,63329.9765,0,81472.7379,2724.0916,53666.2193,63329.9765,0,81472.7379,2724.0916
44,44,1,50,0.3,0,1,1,1,1,1,1,1,1,1,8284.4341,-65006.5524,8284.4341,-65006.5524,-56722.1183,0.0,2341245.8606,388710.2046,3625181.3778,158.9011663199999,0.5345833115480001,70.20360839467689,69.66902508312889,0.5345833115480001,70.20360839467689,69.66902508312889,2055.0,2055.0,19.5982,19.5982,14.5815,14.5815,295830.0526,561030.9982,30883.5849,858533.8645,27511.3471,295830.0526,561030.9982,30883.5849,858533.8645,27511.3471
